id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
b74c39d6-cc75-417a-8510-98edd1edc9cc,Maria Helena Martins,1958-04-26,300.797.010-92,17122-289,Macedo de Farias,ES,Brasil,M,+55 81 2688-6314,30079701092@exemplo.com.br,2025-05-01
eeecde50-73e1-4012-ac72-f9f30681f696,Pedro Araújo,1959-03-05,860.516.287-66,13406-711,Marques,PI,Brasil,M,+55 (061) 4221-8958,86051628766@exemplo.com.br,2023-07-23
2f399ff3-c138-4bad-9cce-73e81befaeff,Sra. Maria Flor Mendes,1956-07-17,663.533.742-94,41309771,Nascimento de Araújo,RN,Brasil,F,(041) 0618 9794,66353374294@exemplo.com.br,2023-09-21
e1a88a65-fbba-4cdf-9632-8e8a852fb57f,Isabel Barbosa,1978-01-20,291.213.528-57,86635583,Castro dos Dourados,DF,Brasil,M,(021) 9299 8131,29121352857@exemplo.com.br,2023-08-02
561abcf1-e6c6-4fb8-a1f7-2a7a93052075,Valentina Brito,1950-11-28,694.867.436-36,73433482,Correia das Flores,RN,Brasil,M,(084) 3567-3735,69486743636@exemplo.com.br,2023-12-18
6db8e712-dec8-449d-afe6-7fe2a2671d56,Stephany Leão,1963-03-23,193.317.876-05,66893-368,Castro da Serra,ES,Brasil,M,11 3348 5124,19331787605@exemplo.com.br,2025-04-23
8826577e-f31a-45ff-994a-7fb54473e0f6,Srta. Maria Liz Vasconcelos,1978-05-02,894.651.347-54,23650-908,Macedo dos Dourados,PE,Brasil,M,+55 (071) 3025 1999,89465134754@exemplo.com.br,2023-09-23
13c99547-f2f6-4ea9-b942-2653c516dd1d,Sra. Camila da Rocha,1973-02-02,607.812.698-24,15505-690,Silveira,AM,Brasil,M,+55 (071) 6577 2484,60781269824@exemplo.com.br,2024-09-26
0d824a9f-4aab-4f0d-860d-85ed01ecab55,Sr. Oliver Borges,1956-03-05,184.279.144-03,22262816,Cavalcante,RO,Brasil,F,+55 (061) 2015-4794,18427914403@exemplo.com.br,2025-03-25
21c34172-82d4-4369-b255-fa878774b202,Helena da Conceição,1942-03-22,574.205.004-19,77316-145,Nunes de Costa,PB,Brasil,M,(084) 0387-3363,57420500419@exemplo.com.br,2025-05-23
53c5ff81-eeb0-4507-b76b-40d4c098bad4,Aurora Rodrigues,1966-11-26,758.678.083-31,52691608,Sousa,RN,Brasil,M,+55 (021) 7658 4532,75867808331@exemplo.com.br,2023-08-20
98842539-4c75-4098-bebd-cd8b1730b22c,Lucas Gabriel Sales,1989-02-02,088.442.676-49,15321-106,Duarte de Ribeiro,PB,Brasil,M,(061) 4539-8696,08844267649@exemplo.com.br,2024-06-04
902bcb75-b48f-45c6-8509-e9d50218eade,Davi Lucca Novaes,1947-09-08,005.009.996-73,49093-584,Gonçalves,MT,Brasil,M,+55 (061) 8284 1898,00500999673@exemplo.com.br,2024-04-21
61372848-583e-47a6-b46a-86c04e9fb2af,Ana Julia Brito,1942-01-01,684.262.465-12,33765-130,Alves do Galho,AM,Brasil,M,(051) 5664-8878,68426246512@exemplo.com.br,2025-01-29
2a178438-325a-40cc-8776-7c77b8e2f36f,Olívia da Paz,1958-07-28,770.230.729-98,89925196,Cavalcanti,DF,Brasil,M,61 7263-6070,77023072998@exemplo.com.br,2025-03-15
608a7351-4672-423b-bd67-53fbc177c28c,Lorenzo Brito,1982-03-10,291.075.289-04,35803141,Pereira,AC,Brasil,M,51 7756 6205,29107528904@exemplo.com.br,2024-06-08
ce015e04-b345-44d2-ac53-d8d88078cde9,Heitor Costela,1940-06-29,536.235.349-34,73746-596,Sousa,AL,Brasil,F,+55 (081) 0033-1056,53623534934@exemplo.com.br,2024-05-28
b0d79d78-9ab6-4edd-9a14-0ac913ce38e2,Carlos Eduardo Sá,1963-12-31,295.431.975-42,99651818,Freitas de Minas,RO,Brasil,M,(051) 1305-0319,29543197542@exemplo.com.br,2023-09-01
f53401ca-021f-489b-b8ae-4e1b37ac5d06,Manuela Moura,1973-01-24,634.779.304-58,19125920,Ferreira,AM,Brasil,F,84 8872 8819,63477930458@exemplo.com.br,2024-10-30
cf9308fd-f1f9-4db4-aa1e-ca9fd3a0a9a2,Maria Julia Cavalcanti,1961-02-27,210.503.822-69,18767635,Oliveira dos Dourados,RN,Brasil,F,(071) 4326 2629,21050382269@exemplo.com.br,2024-03-13
2e439f8d-d764-456a-a387-482068a3d4c7,Aylla Araújo,2005-07-26,534.811.255-06,82881321,Pacheco,DF,Brasil,M,(011) 1333 2202,53481125506@exemplo.com.br,2025-06-03
a3197f64-bcf3-4397-9215-11264c8771c5,Júlia Pires,1972-08-31,752.434.334-91,37750709,Pinto da Praia,AL,Brasil,M,+55 51 5852 8337,75243433491@exemplo.com.br,2024-12-25
7f15cd63-4cdd-4024-a8eb-e9339659285c,Luísa Farias,1981-05-22,777.661.063-06,74497856,Marques,AM,Brasil,F,0900-707-0780,77766106306@exemplo.com.br,2024-06-03
e444b8e8-c040-41f3-b0cd-bdecc5e1e84c,Carolina Santos,1985-12-08,607.213.537-41,55105480,Peixoto de Machado,ES,Brasil,F,+55 (021) 4979-0822,60721353741@exemplo.com.br,2023-12-07
f1aa0515-1445-449b-82f9-9d2f5cc43951,Stella Viana,1969-03-01,642.472.650-38,46612312,Cirino de Porto,RO,Brasil,F,+55 11 7055-6428,64247265038@exemplo.com.br,2024-03-15
fa8524a3-9ed9-4d5a-970d-7eb27119d1bf,Srta. Eloá Barbosa,1980-12-08,570.744.457-58,57993-024,Aragão,RJ,Brasil,M,+55 (061) 2630-3186,57074445758@exemplo.com.br,2024-08-19
2b181093-6257-4af2-815f-371cbc8f3797,Dr. Thales da Mota,1960-03-01,949.849.623-89,13694-766,Rodrigues,ES,Brasil,M,+55 (084) 7696-3238,94984962389@exemplo.com.br,2023-09-28
f0df9d6b-2b8d-4236-9908-992c156fad93,Pedro Henrique Novaes,1990-05-31,743.313.021-65,51489244,Porto do Norte,TO,Brasil,F,0300 261 1483,74331302165@exemplo.com.br,2025-05-16
42ce044a-f1aa-4c6d-9aa5-3513b1e82c30,Mathias Casa Grande,1952-04-01,107.758.758-64,15243109,Teixeira,MG,Brasil,M,41 1982 2961,10775875864@exemplo.com.br,2024-01-11
39984084-4033-4785-b6f5-7ff5e16ace49,Yuri Pacheco,1969-08-30,853.420.936-94,62987-103,da Paz,AL,Brasil,M,+55 (021) 6940 6845,85342093694@exemplo.com.br,2024-07-09
c9bb7e3a-d6d7-4181-91bd-2ad252630e12,Fernanda Duarte,2001-08-11,922.739.526-04,78922-250,Silveira de Almeida,SP,Brasil,F,(061) 9381-8221,92273952604@exemplo.com.br,2023-12-17
b59db34e-3224-4daf-9bfa-d0e9361edd6c,Vitor Hugo Leão,1992-05-25,455.140.096-57,86632-211,Machado do Norte,AL,Brasil,M,+55 (021) 9640 6549,45514009657@exemplo.com.br,2025-05-24
dc1d9126-b127-4d29-b6de-00f4c09eb618,Igor Nunes,1994-12-20,348.842.662-23,54129-065,Camargo,AM,Brasil,F,+55 84 9978 8210,34884266223@exemplo.com.br,2024-08-18
d55e4ab1-9e0a-49d0-a55b-dd8706d2300b,Sr. Davi Lucca Fogaça,1965-12-13,058.757.207-37,58282-340,Dias,BA,Brasil,F,61 4658-3392,05875720737@exemplo.com.br,2024-03-12
517409ec-6bc0-4354-9dc3-8cae2c772c39,José Andrade,1947-01-28,068.292.404-66,30771-773,Lima de Viana,MS,Brasil,F,+55 (041) 4601 6831,06829240466@exemplo.com.br,2024-01-17
42594778-4a96-4595-ac66-bef8241b0498,Zoe Nascimento,1971-09-15,869.889.438-56,23314-614,Marques,AC,Brasil,M,+55 (041) 9447-8329,86988943856@exemplo.com.br,2025-03-14
ac0c0b26-090c-4a7f-a90f-4203165308f6,Daniela Viana,1976-12-27,827.829.987-81,37842477,Farias Grande,PB,Brasil,F,+55 (041) 8645-5997,82782998781@exemplo.com.br,2024-11-30
74d398b9-238b-4d64-9074-cbc8959bff62,Dr. Mathias Gonçalves,1937-08-04,241.383.624-95,24770399,Silva da Praia,AL,Brasil,M,21 4201 9228,24138362495@exemplo.com.br,2024-02-13
0502021d-75e4-470a-a17d-b692af0ffe97,Emanuel Siqueira,1984-10-11,221.370.272-17,50532286,Ribeiro,AC,Brasil,F,+55 (041) 9767-6941,22137027217@exemplo.com.br,2024-04-09
7085db92-d277-450e-9278-017ef6cfbe53,Kevin Martins,1942-06-30,471.072.092-03,74036922,Pastor,MT,Brasil,M,+55 (051) 3084-0271,47107209203@exemplo.com.br,2025-03-23
1530275c-c983-4491-a885-332db9eb9f07,Sra. Ana Cecília Garcia,1987-04-25,155.040.780-90,16648521,Camargo,RJ,Brasil,F,31 1030-5141,15504078090@exemplo.com.br,2024-09-18
54a459a0-5576-4783-8077-744eade012c3,Ana Albuquerque,1970-02-17,230.190.879-62,76476852,Marques,PR,Brasil,F,(021) 8583 9065,23019087962@exemplo.com.br,2025-02-19
6a111bb0-6871-4a7c-8cd2-3584c8df87b3,Alana Teixeira,1995-09-25,050.501.215-54,72464895,Lima,MG,Brasil,M,(084) 5503-6985,05050121554@exemplo.com.br,2023-09-30
af28009f-39a0-48fd-a278-faaa2c4fd8b9,Alexandre Costela,1963-01-15,921.352.342-30,18779-831,da Luz,MT,Brasil,M,+55 (061) 8979 8835,92135234230@exemplo.com.br,2024-06-03
2799629b-2a67-4a22-b06c-3fdd5e445ab9,Rebeca da Cruz,1972-08-21,008.369.931-06,10089286,Leão das Flores,SP,Brasil,M,+55 (061) 0340 5699,00836993106@exemplo.com.br,2023-11-23
fc6a78f9-1ad6-4f3e-8394-7254c228fbf7,Enzo Câmara,1969-03-23,361.261.802-00,28701-532,Pinto,PB,Brasil,M,31 8674-0782,36126180200@exemplo.com.br,2024-11-05
ec45e907-40d2-4fad-86da-ff79e5a93dfe,Dra. Isabela Porto,1939-06-10,772.109.130-43,88024396,Jesus,MT,Brasil,F,+55 61 3215 3660,77210913043@exemplo.com.br,2024-03-31
a615da1f-a21c-4ca8-b2c8-9fa0c0e1bd78,Juan Mendonça,1968-06-03,850.002.766-88,95470771,Pacheco da Prata,GO,Brasil,M,61 4036-1235,85000276688@exemplo.com.br,2025-06-17
d3cfdd4c-6625-4764-b173-5c5bce76c8cd,Agatha da Cunha,1955-10-07,643.197.380-89,93017-555,Gomes,TO,Brasil,M,+55 81 3210 7715,64319738089@exemplo.com.br,2023-08-12
5ccecdbc-7146-4a8a-82a2-6cacfc3c42d5,Benjamim Camargo,1936-04-15,029.344.620-85,76066895,Lopes,RR,Brasil,M,+55 (031) 5764-3354,02934462085@exemplo.com.br,2023-08-09
a42bd422-2f12-4fc2-afad-9bcff9a0dab8,Luiz Otávio Moraes,1999-09-20,711.112.597-85,55833669,Nunes do Campo,PE,Brasil,F,+55 (084) 0333 3798,71111259785@exemplo.com.br,2025-02-11
2ef44671-d2c7-408e-819f-ba8a48741994,Ana Júlia Gomes,2000-09-09,277.551.686-96,33395334,Mendes de Minas,SE,Brasil,F,21 2456-3983,27755168696@exemplo.com.br,2025-06-14
64dbf932-82bd-4a7e-a0c7-6f8e68e20e59,Allana Albuquerque,1978-09-15,093.050.528-57,54701126,Silva de Montenegro,RS,Brasil,F,+55 (084) 7531-5532,09305052857@exemplo.com.br,2025-03-10
e4e5399f-6521-4403-a27d-c4a26f0c9204,Milena Jesus,1995-04-19,594.957.696-90,12156-282,Castro do Galho,TO,Brasil,F,+55 (031) 7940-1310,59495769690@exemplo.com.br,2025-02-27
d534fb51-dbd3-48bb-a5ad-25dd7deaade3,João Miguel Costela,1976-06-05,638.447.967-72,59582887,Freitas da Praia,PI,Brasil,M,+55 (041) 3996 6403,63844796772@exemplo.com.br,2025-05-29
b35c131c-2939-4fce-a01e-9db036ef6bfd,Daniela Viana,1958-08-19,381.264.394-84,82684-586,Pinto,PB,Brasil,F,0900 600 4661,38126439484@exemplo.com.br,2023-09-18
b80b595b-a282-4aa2-b5be-ec97eb1e49af,Eloá Vasconcelos,2000-06-20,937.207.374-82,95259-869,Marques,RN,Brasil,F,(071) 6554-2842,93720737482@exemplo.com.br,2024-07-25
eca71ca8-45a5-4e3a-a5a1-d316764a70ae,Dr. Davi Lucas Ribeiro,1947-06-01,084.887.137-70,66072-235,Lima,PI,Brasil,M,(031) 1498 0138,08488713770@exemplo.com.br,2025-07-04
b08b9d55-71b3-47f4-9219-936943ffbab6,Matheus Cardoso,1976-11-30,487.657.844-15,47527638,Pires Paulista,TO,Brasil,F,11 3207 8182,48765784415@exemplo.com.br,2023-09-02
508b11fa-1128-456d-b526-575a3ad62572,Rafaela Pimenta,1994-02-24,161.055.839-39,19137796,Moura,AC,Brasil,M,0900-570-5351,16105583939@exemplo.com.br,2023-10-17
152fc704-a606-4506-80f0-600df608d7df,Dra. Maria Fernanda da Luz,1992-11-29,011.466.638-22,78684010,Cardoso das Flores,AC,Brasil,M,+55 (061) 8292-3575,01146663822@exemplo.com.br,2024-01-22
32f9e992-0ee1-4c6b-8b1b-c5e064614a57,Beatriz Correia,1997-04-23,638.751.165-37,17149010,Aragão,PR,Brasil,M,(021) 5257 9833,63875116537@exemplo.com.br,2023-11-26
229ff82c-e563-4b3e-9cde-394ba4c19db2,Nicole Ribeiro,1947-07-19,801.086.139-52,19741-967,Novais,TO,Brasil,M,11 9865-9546,80108613952@exemplo.com.br,2024-01-09
a619c24c-7bd2-4bc9-85df-cb123a46895c,Eloah Souza,1979-05-05,636.960.429-22,39001-182,Pacheco do Amparo,PE,Brasil,F,+55 71 0496-0794,63696042922@exemplo.com.br,2024-05-12
